sample_id,original_track_id,sample_track_id,t_original,t_sample,n_repetitions,sample_type,interpolation,comments
S001,T002,T001,0,0,19,riff,no, starts counted (sample ABCD looped ABCBCBCD)
S002,T003,T004,0,0,4,riff,no, intro
S003,T003,T004,34,53,3,riff,no, refrain with horns
S004,T005,T006,0,37,60,beat,no, 
S005,T007,T008,53,0,10,riff,no, (very clean: same pitch and only layer)
S006,T010,T009,0,1,37,beat,no, probably samples both bars (with two decks?)
S007,T011,T012,1,0,85,riff,no, (sample a bit gated in the end)
S008,T014,T013,74,5,10,riff,maybe, beginning of riff counted (rest 'chopped')
S009,T015,T016,0,3,37,riff,yes, interpolation or other version
S010,T018,T017,0,0,1,riff,no, 
S012,T021,T020,0,0,38,riff,maybe, time sampled unclear (0:00 or 2:25?)
S013,T023,T022,1,10,51,riff,maybe, piano
S014,T025,T024,0,21,37,riff,no, 
S015,T027,T026,5,12,38,riff,no, 
S016,T029,T028,0,37,50,riff,no, 
S017,T031,T030,8,10,43,riff,no, first half of loop
S018,T033,T032,1,18,217,beat,probably not, (samples 2nd measure hence short and no melody)
S019,T035,T034,40,10,48,riff,no, (vocals)
S020,T033,T036,0,2,33,riff,no, 
S021,T038,T037,0,0,50,riff,no, the guitar bar
S022,T043,T037,141,26,22,riff,maybe, 
S023,T040,T039,0,2,21,riff,yes, interpolation
S024,T042,T041,0,4,40,riff,no, the guitar bar
S025,T045,T044,0,39,67,riff,no, very soft and hard to count
S027,T049,T048,0,9,25,riff,no, 
S028,T050,T048,0,0,19,riff,no, half samples not counted (second halves)
S029,T052,T051,0,10,85,beat,no, only the measures with single BD counted
S030,T052,T039,0,13,76,beat,no, 
S031,T052,T037,0,4,110,beat,maybe, BD filtered out or replay
S032,T052,T053,1,20,147,beat,maybe, HH filtered out or replay
S033,T045,T054,0,12,92,One note,no, 
S035,T056,T057,3,6,44,riff,no,  
S036,T058,T059,5,10,26,riff,maybe, Short sample Ð intro not counted
S037,T060,T061,63,63,3,riff,no, vocals only
S038,T062,T063,35,1,5,riff,no, refrain w/ vocals (long)
S039,T064,T065,25,22,157,riff,no, the flute verse
S040,T066,T067,7,18,34,riff,no, both instr/vocal instr parts chopped?
S041,T068,T069,6,13,23,riff,maybe, nice and long (11 seconds)
S042,T070,T071,0,0,38,riff,no, 
S043,T072,T073,0,5,55,riff,no, piano part
S044,T074,T075,7,8,79,riff,no, Short alternates full/half sample
S045,T076,T077,32,0,143,riff,no, Only 8 note string riff counted
S046,T078,T079,4,2,151,One note,no, Less than one second
S047,T080,T081,3,20,15,riff,no, Only repetitions of string riff counted
S048,T082,T048,2,0,68,beat,no, 
S049,T083,T054,321,12,80,beat,maybe, 
S050,T085,T084,1,0,45,beat,probably, 
S051,T116,T086,88,20,80,beat,no, 
S052,T088,T086,1,179,3,beat,no, 
S054,T090,T091,0,3,91,beat,no, 
S055,T090,T092,0,0,101,beat,no, 
S056,T094,T093,5,0,60,riff,no, 
S057,T090,T093,0,0,150,beat,no, half of the samples used in S054 and S55
S058,T095,T093,138,0,40,riff,no, 
S060,T098,T097,0,8,204,beat,no, pretty short but ok
S061,T098,T099,0,11,150,beat,no, Pretty short only full cycles counted
S062,T098,T100,0,5,100,beat,no, pretty short but ok
S063,T101,T102,1,0,24,riff,no, 
S064,T104,T103,1,15,96,beat,no, 
S067,T108,T109,6,54,114,beat,no, 
S068,T111,T110,0,15,55,riff,no, 
S069,T112,T110,14,0,1,riff,no, 
S071,T116,T115,88,7,82,beat,no, 
S072,T117,T115,1,60,7,riff,no, 
S073,T119,T118,5,0,139,beat,no, 
S074,T085,T121,1,0,74,beat,yes, Perhaps chopped with compression or gated reverb: different timbre; yet accurate pattern
S078,T145,T144,12,39,2,riff,no, 
S079,T145,T146,1,0,22,beat,no, 
S080,T148,T147,18,5,24,riff,no, 
S081,T148,T149,18,13,15,riff,no, end of loop doubled (not counted)
S082,T151,T150,6,114,7,riff,no, 
S083,T145,T152,3,56,28,beat,no, 
S084,T154,T153,18,0,54,riff,no, LF only
S086,T154,T157,1,1,9,riff,no, intro
S089,T160,T157,0,64,8,riff,no, 
S091,T162,T163,0,17,3,beat,probably, HF only and soft
S092,T162,T164,8,7,53,riff,no, 
S094,T167,T166,6,15,43,riff,no, Bass + synth
S098,T173,T172,108,5,71,riff,no, 
S101,T177,T176,0,0,27,riff,no, 
S103,T180,T179,1,1,12,riff,no, 
S104,T182,T181,0,0,99,riff,no, 
S106,T185,T184,0,135,8,riff,no, 
S107,T083,T184,321,137,7,beat,no, 
S109,T160,T187,0,9,77,riff,no, might be 39
S112,T088,T187,1,0,21,beat,no, 
S113,T083,T189,321,137,4,beat,no, might be 2
S114,T083,T190,321,0,102,beat,no, 
S115,T083,T191,321,11,112,beat,no, 
S116,T193,T192,106,5,75,beat,no, Beginnings counted
S120,T199,T184,5,2,71,riff,no, 
S121,T064,T065,2,0,12,riff,no, the intro/refrain riff
S122,T072,T073,4,32,5,riff,no, brass part
S123,T062,T063,59,49,44,riff,no, verse (very soft)
S124,T052,T051,1,13,80,beat,no, only the measures with double BD counted
S125,T042,T041,7,12,16,riff,no, the guitar + strings bar
S126,T038,T037,4,52,10,riff,no, the guitar + brass bar
S127,T031,T030,46,13,43,riff,no, end of loop
S128,T029,T028,5,27,4,riff,no, 10 sec refrain
S129,T023,T022,11,84,2,riff,maybe, saxophone
S130,T014,T013,68,0,1,riff,no, intro not interpolated
S131,T003,T004,23,20,9,riff,no, repeated beat (of which 3 included in S2)
S134,T167,T166,2,25,14,riff,no, Just bass
S135,T199,T184,14,58,3,riff,no, brass riff
S136,T199,T184,66,0,2,riff,no, brass crescendo
S137,T173,T172,1,44,14,riff,no, 
